query_id,suite,duckdb_ms,clickhouse_ms,turbogp_ms,turbogp_status,turbogp_rows,duckdb_rows,clickhouse_rows,turbogp_vs_duckdb_ratio,turbogp_vs_clickhouse_ratio,notes
Q1,clickbench,0.21,0.77,0.00,ok,1,1,1,N/A,N/A,
Q2,clickbench,6.93,20.25,25.64,ok,1,1,1,3.70,1.27,
Q3,clickbench,0.55,2.49,0.25,ok,1,1,1,0.45,0.10,
Q4,clickbench,0.22,2.52,0.52,ok,1,1,1,2.42,0.21,
Q5,clickbench,6.07,12.63,38.08,ok,1,1,1,6.27,3.01,
Q6,clickbench,0.84,2.86,1.13,ok,1,1,1,1.34,0.39,
Q7,clickbench,0.72,2.80,1.17,ok,1,1,1,1.61,0.42,
Q8,clickbench,8.70,19.08,4.67,ok,3733,3733,3733,0.54,0.24,
Q9,clickbench,2.22,4.68,4.69,ok,3733,3733,3733,2.11,1.00,
Q10,clickbench,2.22,5.17,3.60,ok,27,87,87,1.62,0.70,
Q11,clickbench,2.37,5.95,3.57,ok,27,148,148,1.50,0.60,
Q12,clickbench,8.29,27.06,3.53,ok,60,111229,111229,0.43,0.13,
Q13,clickbench,0.68,1.86,0.52,ok,1,0,0,0.76,0.28,
Q14,clickbench,18.95,44.89,41.64,ok,10,10,10,2.20,0.93,
Q15,clickbench,3.62,13.33,10.76,ok,10,10,10,2.97,0.81,
Q16,clickbench,19.87,46.59,47.99,ok,10,10,10,2.41,1.03,
Q17,clickbench,21.59,50.13,49.91,ok,10,10,10,2.31,1.00,
Q18,clickbench,6.71,14.50,38.66,ok,10,10,10,5.77,2.67,
Q19,clickbench,11.35,19.21,80.84,ok,10,10,10,7.12,4.21,
Q20,clickbench,8.87,17.42,58.14,ok,10,10,10,6.56,3.34,
Q21,clickbench,6.61,14.05,40.45,ok,10,10,10,6.12,2.88,
Q22,clickbench,9.23,21.04,58.00,ok,10,10,10,6.28,2.76,
Q23,clickbench,7.86,14.56,49.80,ok,10,10,10,6.34,3.42,
Q24,clickbench,5.58,9.64,35.93,ok,10,10,10,6.44,3.73,
Q25,clickbench,5.54,14.83,36.01,ok,10,10,10,6.50,2.43,
Q26,clickbench,9.24,4.11,59.41,ok,10,10,10,6.43,14.44,
Q27,clickbench,6.02,2.23,39.01,ok,1,1,1,6.48,17.47,
Q28,clickbench,6.04,11.26,37.40,ok,10,10,10,6.19,3.32,
Q29,clickbench,9.06,12.84,65.72,ok,10,10,10,7.25,5.12,
Q30,clickbench,12.16,21.63,79.48,ok,10,10,10,6.54,3.68,
Q31,clickbench,6.67,13.55,39.84,ok,10,10,10,5.97,2.94,
Q32,clickbench,7.41,13.08,47.52,ok,10,10,10,6.42,3.63,
Q33,clickbench,7.72,17.27,56.41,ok,10,10,10,7.30,3.27,
Q34,clickbench,9.23,17.09,55.82,ok,10,10,10,6.05,3.27,
Q35,clickbench,8.67,15.64,56.24,ok,10,10,10,6.48,3.60,
Q36,clickbench,6.50,14.67,42.85,ok,10,10,10,6.59,2.92,
Q37,clickbench,6.31,13.01,37.64,ok,10,10,10,5.96,2.89,
Q38,clickbench,9.88,14.86,69.23,ok,10,10,10,7.01,4.66,
Q39,clickbench,6.62,13.43,38.77,ok,10,10,10,5.86,2.89,
Q40,clickbench,9.72,13.25,59.32,ok,10,10,10,6.10,4.48,
Q41,clickbench,13.46,18.67,96.02,ok,10,10,10,7.13,5.14,
Q42,clickbench,12.29,18.98,93.16,ok,10,10,10,7.58,4.91,
Q43,clickbench,0.78,3.29,3.47,ok,10,10,10,4.44,1.05,
Q1,clickbench,0.21,0.77,0.00,ok,1,1,1,N/A,N/A,
Q2,clickbench,6.93,20.25,25.64,ok,1,1,1,3.70,1.27,
Q3,clickbench,0.55,2.49,0.25,ok,1,1,1,0.45,0.10,
Q4,clickbench,0.22,2.52,0.52,ok,1,1,1,2.42,0.21,
Q5,clickbench,6.07,12.63,38.08,ok,1,1,1,6.27,3.01,
Q6,clickbench,0.84,2.86,1.13,ok,1,1,1,1.34,0.39,
Q7,clickbench,0.72,2.80,1.17,ok,1,1,1,1.61,0.42,
Q8,clickbench,8.70,19.08,4.67,ok,3733,3733,3733,0.54,0.24,
Q9,clickbench,2.22,4.68,4.69,ok,3733,3733,3733,2.11,1.00,
Q10,clickbench,2.22,5.17,3.60,ok,27,87,87,1.62,0.70,
Q11,clickbench,2.37,5.95,3.57,ok,27,148,148,1.50,0.60,
Q12,clickbench,8.29,27.06,3.53,ok,60,111229,111229,0.43,0.13,
Q13,clickbench,0.68,1.86,0.52,ok,1,0,0,0.76,0.28,
Q14,clickbench,18.95,44.89,41.64,ok,10,10,10,2.20,0.93,
Q15,clickbench,3.62,13.33,10.76,ok,10,10,10,2.97,0.81,
Q16,clickbench,19.87,46.59,47.99,ok,10,10,10,2.41,1.03,
Q17,clickbench,21.59,50.13,49.91,ok,10,10,10,2.31,1.00,
Q18,clickbench,6.71,14.50,38.66,ok,10,10,10,5.77,2.67,
Q19,clickbench,11.35,19.21,80.84,ok,10,10,10,7.12,4.21,
Q20,clickbench,8.87,17.42,58.14,ok,10,10,10,6.56,3.34,
Q21,clickbench,6.61,14.05,40.45,ok,10,10,10,6.12,2.88,
Q22,clickbench,9.23,21.04,58.00,ok,10,10,10,6.28,2.76,
